,dt,sensor,con,spl,date,time
2,2016-06-21 00:00:00,sensor_3,1686.44125,76.2357382632,2016-06-21,00:00:00
6,2016-06-21 04:00:00,sensor_3,2041.33,79.4458694591,2016-06-21,04:00:00
10,2016-06-21 08:00:00,sensor_3,2369.7175,80.7386086616,2016-06-21,08:00:00
14,2016-06-21 12:00:00,sensor_3,1985.25625,81.8616837594,2016-06-21,12:00:00
18,2016-06-21 16:00:00,sensor_3,2255.3775,79.6751134061,2016-06-21,16:00:00
22,2016-06-21 20:00:00,sensor_3,1768.385,78.1283848848,2016-06-21,20:00:00
26,2016-06-22 00:00:00,sensor_3,1907.6975,73.4843096255,2016-06-22,00:00:00
30,2016-06-22 04:00:00,sensor_3,2125.37125,79.4454744707,2016-06-22,04:00:00
34,2016-06-22 08:00:00,sensor_3,3012.7775,78.9683334141,2016-06-22,08:00:00
38,2016-06-22 12:00:00,sensor_3,3450.05375,81.4589132048,2016-06-22,12:00:00
42,2016-06-22 16:00:00,sensor_3,2337.99625,76.497049493,2016-06-22,16:00:00
46,2016-06-22 20:00:00,sensor_3,2010.21875,77.4954154306,2016-06-22,20:00:00
50,2016-06-23 00:00:00,sensor_3,1791.2875,73.9354347739,2016-06-23,00:00:00
54,2016-06-23 04:00:00,sensor_3,2386.17375,76.070163761,2016-06-23,04:00:00
58,2016-06-23 08:00:00,sensor_3,2810.55625,82.1232929723,2016-06-23,08:00:00
62,2016-06-23 12:00:00,sensor_3,2857.315,82.4158984757,2016-06-23,12:00:00
66,2016-06-23 16:00:00,sensor_3,2202.18125,80.0611809168,2016-06-23,16:00:00
70,2016-06-23 20:00:00,sensor_3,2264.93875,78.5820949524,2016-06-23,20:00:00
74,2016-06-24 00:00:00,sensor_3,1794.35625,70.4729733985,2016-06-24,00:00:00
78,2016-06-24 04:00:00,sensor_3,2163.055,78.3293047733,2016-06-24,04:00:00
82,2016-06-24 08:00:00,sensor_3,2867.7825,79.8436987211,2016-06-24,08:00:00
86,2016-06-24 12:00:00,sensor_3,4316.285,81.0824847055,2016-06-24,12:00:00
90,2016-06-24 16:00:00,sensor_3,2344.2025,80.2236797374,2016-06-24,16:00:00
94,2016-06-24 20:00:00,sensor_3,2174.03625,80.1116691462,2016-06-24,20:00:00
98,2016-06-25 00:00:00,sensor_3,1865.41,74.7766045554,2016-06-25,00:00:00
102,2016-06-25 04:00:00,sensor_3,1827.17375,75.8045097265,2016-06-25,04:00:00
106,2016-06-25 08:00:00,sensor_3,2762.3425,80.5316612383,2016-06-25,08:00:00
110,2016-06-25 12:00:00,sensor_3,1965.17625,78.3318527539,2016-06-25,12:00:00
